URI,Title,RecordId,ParentType URI,From Date,To Date,Authority,Deity,Dynasty,Denomination,Issuer,Manufacture,Material,Mint,Object Type,Portrait,Region,State,Symbol_obv,Symbol_obv_letter,Symbol_rev,Symbol_rev_letter,Obverse Legend,Obverse Type,Reverse Legend,Reverse Type,Reverse Officina Mark,Reverse Exergue,Date Record Modified
http://numismatics.org/ocre/id/ric.2_1(2).tit.471,"RIC II, Part 1 (second edition) Titus 471",ric.2_1(2).tit.471,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Tiberius,Latium,Roman Empire,,,,,TI CAESAR DIVI AVG F AVGVST IMP VIII,"Head of Tiberius, bare, right",IMP T VESP AVG REST S C,Rudder on globe,,,2026-01-06T02:37:04Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.472,"RIC II, Part 1 (second edition) Titus 472",ric.2_1(2).tit.472,,80,81,Titus,Spes,Flavian Dynasty,Sestertius,,Struck,Bronze,Rome,Coin,Claudius,Latium,Roman Empire,,,,,TI CLAVDIVS CAESAR AVG P M TR P IMP P P,"Head of Claudius, laureate, right",IMP T VESP AVG REST S C,"Spes standing, left holding flower in right and raising skirt with left",,,2026-01-06T02:37:05Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.473,"RIC II, Part 1 (second edition) Titus 473",ric.2_1(2).tit.473,,80,81,Titus,Spes,Flavian Dynasty,Sestertius,,Struck,Bronze,Rome,Coin,Claudius,Latium,Roman Empire,,,,,TI CLAVDIVS CAESAR AVG P M TR P IMP P P,"Head of Claudius, laureate, right",IMP T VESP AVG RESTITVIT S C,"Spes standing, left holding flower in right and raising skirt with left",,,2026-01-06T02:37:06Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.474,"RIC II, Part 1 (second edition) Titus 474",ric.2_1(2).tit.474,,80,81,Titus,Spes,Flavian Dynasty,Sestertius,,Struck,Bronze,Rome,Coin,Claudius,Latium,Roman Empire,,,,,TI CLAVDIVS CAESAR AVG P M TR P IMP P P,"Head of Claudius, laureate, right",IMP TITVS VESP AVG REST S C,"Spes standing, left holding flower in right and raising skirt with left",,,2026-01-06T02:37:10Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.475,"RIC II, Part 1 (second edition) Titus 475",ric.2_1(2).tit.475,,80,81,Titus,Spes,Flavian Dynasty,Sestertius,,Struck,Bronze,Rome,Coin,Claudius,Latium,Roman Empire,,,,,TI CLAVDIVS CAESAR AVG P M TR P IMP P P,"Head of Claudius, laureate, left",IMP T VESP AVG REST S C,"Spes standing, left holding flower in right and raising skirt with left",,,2026-01-06T02:37:10Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.476,"RIC II, Part 1 (second edition) Titus 476",ric.2_1(2).tit.476,,80,81,Titus,Spes,Flavian Dynasty,Sestertius,,Struck,Bronze,Rome,Coin,Claudius,Latium,Roman Empire,,,,,TI CLAVDIVS CAESAR AVG P M TR P IMP P P,"Head of Claudius, laureate, left",IMP T VESP AVG RESTITVIT S C,"Spes standing, left holding flower in right and raising skirt with left",,,2026-01-06T02:37:12Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.477,"RIC II, Part 1 (second edition) Titus 477",ric.2_1(2).tit.477,,80,81,Titus,Spes,Flavian Dynasty,Sestertius,,Struck,Bronze,Rome,Coin,Claudius,Latium,Roman Empire,,,,,TI CLAVDIVS CAESAR AVG P M TR P IMP P P,"Head of Claudius, laureate, left",IMP T VESPAN AVG REST S C,"Spes standing, left holding flower in right and raising skirt with left",,,2026-01-06T02:37:13Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.478,"RIC II, Part 1 (second edition) Titus 478",ric.2_1(2).tit.478,,80,81,Titus,Ceres,Flavian Dynasty,Dupondius,,Struck,Bronze,Rome,Coin,Claudius,Latium,Roman Empire,,,,,TI CLAVDIVS CAESAR AVG P M TR P IMP P P,"Head of Claudius, bare, right",IMP T VESP AVG REST S C,"Ceres seated left, holding corn-ears and torch",,,2026-01-06T02:37:13Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.479,"RIC II, Part 1 (second edition) Titus 479",ric.2_1(2).tit.479,,80,81,Titus,Ceres,Flavian Dynasty,Dupondius,,Struck,Bronze,Rome,Coin,Claudius,Latium,Roman Empire,,,,,TI CLAVDIVS CAES AVG P M TR P IMP P P,"Head of Claudius, bare, right",IMP T VESP AVG REST S C,"Ceres seated left, holding corn-ears and torch",,,2026-01-06T02:37:14Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.480,"RIC II, Part 1 (second edition) Titus 480",ric.2_1(2).tit.480,,80,81,Titus,Constantia,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Claudius,Latium,Roman Empire,,,,,TI CLAVDIVS CAESAR AVG P M TR P IMP P P,"Head of Claudius, bare, right",IMP TITVS VESP REST S C,"Constantia standing left, raising right hand and holding spear in left",,,2026-01-06T02:37:16Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.481,"RIC II, Part 1 (second edition) Titus 481",ric.2_1(2).tit.481,,80,81,Titus,Constantia,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Claudius,Latium,Roman Empire,,,,,TI CLAVDIVS CAESAR AVG P M TR P IMP,"Head of Claudius, bare, right",IMP T VESP AVG REST S C,"Constantia standing left, raising right hand and holding spear in left",,,2026-01-06T02:37:19Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.482,"RIC II, Part 1 (second edition) Titus 482",ric.2_1(2).tit.482,,80,81,Titus,Constantia,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Claudius,Latium,Roman Empire,,,,,TI CL CAESAR AVG P M TR P IMP P P,"Head of Claudius, bare, right",IMP TITVS VESP REST S C,"Constantia standing left, raising right hand and holding spear in left",,,2026-01-06T02:37:20Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.483,"RIC II, Part 1 (second edition) Titus 483",ric.2_1(2).tit.483,,80,81,Titus,Minerva,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Claudius,Latium,Roman Empire,,,,,TI CLAVDIVS CAESAR AVG P M TR P IMP P P,"Head of Claudius, bare, right",IMP T VESP AVG RES S C,"Minerva, draped, helmeted, advancing right, brandishing spear in right hand and holding round shield in left",,,2026-01-06T02:37:21Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.484,"RIC II, Part 1 (second edition) Titus 484",ric.2_1(2).tit.484,,80,81,Titus,Minerva,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Claudius,Latium,Roman Empire,,,,,TI CLAVDIVS CAESAR AVG P M TR P IMP P P,"Head of Claudius, bare, right",IMP T VESP AVG REST S C,"Minerva, draped, helmeted, advancing right, brandishing spear in right hand and holding round shield in left",,,2026-01-06T02:37:21Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.485,"RIC II, Part 1 (second edition) Titus 485",ric.2_1(2).tit.485,,80,81,Titus,Minerva,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Claudius,Latium,Roman Empire,,,,,TI CLAVDIVS CAESAR AVG P M TR P IMP,"Head of Claudius, bare, right",IMP T VESP AVG REST S C,"Minerva, draped, helmeted, advancing right, brandishing spear in right hand and holding round shield in left",,,2026-01-06T02:37:22Z
